epoch,bias,algorithm,target_bias,target_lower,target_upper,incumbent_reward,incumbent_T_X,incumbent_T_Z,optimizer_type,trust_region_length,success_counter,failure_counter,best_reward,restart_count
0,28.46957613209257,2-points with noise,100.0,97.0,103.0,-283.8644836993249,0.49561608455792067,14.109979851611351,raw CMA-ES noisy two-point,,,,,
1,28.46957613209257,2-points with noise,100.0,97.0,103.0,-283.8644836993249,0.49561608455792067,14.109979851611351,raw CMA-ES noisy two-point,,,,,
2,28.942993786358137,2-points with noise,100.0,97.0,103.0,-276.5299650400166,0.36327628269614376,10.514303192805771,raw CMA-ES noisy two-point,,,,,
3,37.51197674559024,2-points with noise,100.0,97.0,103.0,-172.89652164094102,0.3040313189659856,11.404815766983182,raw CMA-ES noisy two-point,,,,,
4,44.91377053717907,2-points with noise,100.0,97.0,103.0,-115.1605539723197,0.28536117668728167,12.816646409951982,raw CMA-ES noisy two-point,,,,,
5,45.07239631023266,2-points with noise,100.0,97.0,103.0,-114.13442351048695,0.2994221240135802,13.495672637591719,raw CMA-ES noisy two-point,,,,,
6,45.07239631023266,2-points with noise,100.0,97.0,103.0,-114.13442351048695,0.2994221240135802,13.495672637591719,raw CMA-ES noisy two-point,,,,,
7,45.07239631023266,2-points with noise,100.0,97.0,103.0,-114.13442351048695,0.2994221240135802,13.495672637591719,raw CMA-ES noisy two-point,,,,,
8,45.07239631023266,2-points with noise,100.0,97.0,103.0,-114.13442351048695,0.2994221240135802,13.495672637591719,raw CMA-ES noisy two-point,,,,,
9,45.07239631023266,2-points with noise,100.0,97.0,103.0,-114.13442351048695,0.2994221240135802,13.495672637591719,raw CMA-ES noisy two-point,,,,,
10,45.07239631023266,2-points with noise,100.0,97.0,103.0,-114.13442351048695,0.2994221240135802,13.495672637591719,raw CMA-ES noisy two-point,,,,,
11,46.59044957773261,2-points with noise,100.0,97.0,103.0,-104.8166731358423,0.30906668438344626,14.399555774923952,raw CMA-ES noisy two-point,,,,,
12,46.59044957773261,2-points with noise,100.0,97.0,103.0,-104.8166731358423,0.30906668438344626,14.399555774923952,raw CMA-ES noisy two-point,,,,,
13,46.59044957773261,2-points with noise,100.0,97.0,103.0,-104.8166731358423,0.30906668438344626,14.399555774923952,raw CMA-ES noisy two-point,,,,,
14,46.59044957773261,2-points with noise,100.0,97.0,103.0,-104.8166731358423,0.30906668438344626,14.399555774923952,raw CMA-ES noisy two-point,,,,,
15,52.794501533171704,2-points with noise,100.0,97.0,103.0,-73.25422220300217,0.29320519889724356,15.47962232271444,raw CMA-ES noisy two-point,,,,,
16,52.794501533171704,2-points with noise,100.0,97.0,103.0,-73.25422220300217,0.29320519889724356,15.47962232271444,raw CMA-ES noisy two-point,,,,,
17,53.24426444190471,2-points with noise,100.0,97.0,103.0,-71.32603108561881,0.28099772382313887,14.961517114812514,raw CMA-ES noisy two-point,,,,,
18,54.89919523438719,2-points with noise,100.0,97.0,103.0,-64.5321686349165,0.29665858317037597,16.28631747542716,raw CMA-ES noisy two-point,,,,,
19,81.30004988295303,2-points with noise,100.0,97.0,103.0,-7.574400698513041,0.19429567612501325,15.796248161005664,raw CMA-ES noisy two-point,,,,,
20,81.30004988295303,2-points with noise,100.0,97.0,103.0,-7.574400698513041,0.19429567612501325,15.796248161005664,raw CMA-ES noisy two-point,,,,,
21,81.30004988295303,2-points with noise,100.0,97.0,103.0,-7.574400698513041,0.19429567612501325,15.796248161005664,raw CMA-ES noisy two-point,,,,,
22,81.30004988295303,2-points with noise,100.0,97.0,103.0,-7.574400698513041,0.19429567612501325,15.796248161005664,raw CMA-ES noisy two-point,,,,,
23,81.30004988295303,2-points with noise,100.0,97.0,103.0,-7.574400698513041,0.19429567612501325,15.796248161005664,raw CMA-ES noisy two-point,,,,,
24,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
25,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
26,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
27,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
28,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
29,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
30,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
31,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
32,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
33,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
34,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
35,101.78268429612707,2-points with noise,100.0,97.0,103.0,0.14470417746339523,0.2213957718787682,22.53425595363403,raw CMA-ES noisy two-point,,,,,
36,99.0304575258374,2-points with noise,100.0,97.0,103.0,0.21112153854425514,0.2503526922471292,24.792541656058372,raw CMA-ES noisy two-point,,,,,
37,99.0304575258374,2-points with noise,100.0,97.0,103.0,0.21112153854425514,0.2503526922471292,24.792541656058372,raw CMA-ES noisy two-point,,,,,
38,99.0304575258374,2-points with noise,100.0,97.0,103.0,0.21112153854425514,0.2503526922471292,24.792541656058372,raw CMA-ES noisy two-point,,,,,
39,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
40,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
41,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
42,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
43,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
44,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
45,100.8853200040667,2-points with noise,100.0,97.0,103.0,0.24510033540578238,0.280648165805759,28.31328001586837,raw CMA-ES noisy two-point,,,,,
0,28.46957613209257,physical coordinates + reward,100.0,97.0,103.0,-390.61350566999283,0.49561608455792067,14.109979851611351,physical-coordinate CMA-ES,,,,,
1,69.25722910517119,physical coordinates + reward,100.0,97.0,103.0,-28.99598931562811,0.31269591625532744,21.65645271234664,physical-coordinate CMA-ES,,,,,
2,76.56759359837669,physical coordinates + reward,100.0,97.0,103.0,-14.055772332793799,0.2701165189884045,20.682171850112354,physical-coordinate CMA-ES,,,,,
3,83.85194100982818,physical coordinates + reward,100.0,97.0,103.0,-4.94099569363297,0.2738967442343954,22.966773640326522,physical-coordinate CMA-ES,,,,,
4,87.2927691713467,physical coordinates + reward,100.0,97.0,103.0,-2.3844824157611457,0.23679654645674492,20.670626270420712,physical-coordinate CMA-ES,,,,,
5,87.2927691713467,physical coordinates + reward,100.0,97.0,103.0,-2.3844824157611457,0.23679654645674492,20.670626270420712,physical-coordinate CMA-ES,,,,,
6,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
7,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
8,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
9,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
10,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
11,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
12,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
13,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
14,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
15,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
16,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
17,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
18,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
19,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
20,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
21,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
22,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
23,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
24,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
25,100.93348375012492,physical coordinates + reward,100.0,97.0,103.0,0.8070848442218836,0.31529312594896014,31.82363360449546,physical-coordinate CMA-ES,,,,,
26,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
27,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
28,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
29,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
30,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
31,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
32,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
33,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
34,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
35,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
36,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
37,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
38,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
39,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
40,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
41,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
42,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
43,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
44,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
45,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
