epoch,algorithm,x_value,update_type,target_bias,bias,reward,g2_real,g2_imag,eps_d_real,eps_d_imag,log_kappa2,log_abs_alpha,theta_alpha,theta_g
0,BLT physical-coordinate based,0,PHYSICAL_UPDATE,100.0,24.791101559351656,-35.85944242913813,0.4712,-0.16,0.6361,1.1772,-2.3121125756601106,0.637601752476473,-1.5116172278010886,-0.32734276859725675
1,BLT physical-coordinate based,1,PHYSICAL_UPDATE,100.0,24.791101559351656,-35.85944242913813,0.4712,-0.16,0.6361,1.1772,-2.3121125756601106,0.637601752476473,-1.5116172278010886,-0.32734276859725675
2,BLT physical-coordinate based,2,PHYSICAL_UPDATE,100.0,24.791101559351656,-35.85944242913813,0.4712,-0.16,0.6361,1.1772,-2.3121125756601106,0.637601752476473,-1.5116172278010886,-0.32734276859725675
3,BLT physical-coordinate based,3,PHYSICAL_UPDATE,100.0,24.791101559351656,-35.85944242913813,0.4712,-0.16,0.6361,1.1772,-2.3121125756601106,0.637601752476473,-1.5116172278010886,-0.32734276859725675
4,BLT physical-coordinate based,4,BLT_REWARD_REGION,100.0,46.96038774102617,-10.067222751675075,0.4869,0.5704,1.9709,1.1568,-1.491783293911733,0.6182100821028219,0.17761273280033285,0.8642093333190306
5,BLT physical-coordinate based,5,BLT_REWARD_REGION,100.0,46.96038774102617,-10.067222751675075,0.4869,0.5704,1.9709,1.1568,-1.491783293911733,0.6182100821028219,0.17761273280033285,0.8642093333190306
6,BLT physical-coordinate based,6,BLT_REWARD_REGION,100.0,46.96038774102617,-10.067222751675075,0.4869,0.5704,1.9709,1.1568,-1.491783293911733,0.6182100821028219,0.17761273280033285,0.8642093333190306
7,BLT physical-coordinate based,7,BLT_REWARD_REGION,100.0,80.25686162731174,0.11546430367377158,0.5602,-0.2716,3.0426,-0.8715,-1.864096382939746,0.6174309402140054,-0.2518813718894625,-0.45143557243481885
8,BLT physical-coordinate based,8,BLT_REWARD_REGION,100.0,80.25686162731174,0.11546430367377158,0.5602,-0.2716,3.0426,-0.8715,-1.864096382939746,0.6174309402140054,-0.2518813718894625,-0.45143557243481885
9,BLT physical-coordinate based,9,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
10,BLT physical-coordinate based,10,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
11,BLT physical-coordinate based,11,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
12,BLT physical-coordinate based,12,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
13,BLT physical-coordinate based,13,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
14,BLT physical-coordinate based,14,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
15,BLT physical-coordinate based,15,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
16,BLT physical-coordinate based,16,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
17,BLT physical-coordinate based,17,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
18,BLT physical-coordinate based,18,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
19,BLT physical-coordinate based,19,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
20,BLT physical-coordinate based,20,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
21,BLT physical-coordinate based,21,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
22,BLT physical-coordinate based,22,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
23,BLT physical-coordinate based,23,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
24,BLT physical-coordinate based,24,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
25,BLT physical-coordinate based,25,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
26,BLT physical-coordinate based,26,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
27,BLT physical-coordinate based,27,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
28,BLT physical-coordinate based,28,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
29,BLT physical-coordinate based,29,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
30,BLT physical-coordinate based,30,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
31,BLT physical-coordinate based,31,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
32,BLT physical-coordinate based,32,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
33,BLT physical-coordinate based,33,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
34,BLT physical-coordinate based,34,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
35,BLT physical-coordinate based,35,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
