epoch,algorithm,update_type,target_bias,bias,reward,g2_real,g2_imag,eps_d_real,eps_d_imag,log_kappa2,log_abs_alpha,theta_alpha,theta_g
0,BLT hybrid optimizer,BAYESIAN_UPDATE,100.0,28.46957613209257,-390.61350566999283,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
1,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,54.23964040766663,-6.067261931297597,0.9005319992100667,-0.5990971214713133,2.568970691470283,1.7179247299429066,-0.7593936190434996,0.29076926856574736,0.5889426546384096,-0.5870352097656997
2,BLT hybrid optimizer,BLT_JACOBIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
3,BLT hybrid optimizer,BLT_JACOBIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
4,BLT hybrid optimizer,BLT_JACOBIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
5,BLT hybrid optimizer,BLT_JACOBIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
6,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
7,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
8,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
9,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
10,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
11,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
12,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
13,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
14,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
15,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
16,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
17,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
18,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
19,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
20,BLT hybrid optimizer,BAYESIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
21,BLT hybrid optimizer,BAYESIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
22,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
23,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
24,BLT hybrid optimizer,BAYESIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
25,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
26,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
27,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
28,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
29,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
30,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
31,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
32,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
33,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
34,BLT hybrid optimizer,BAYESIAN_UPDATE,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
35,BLT hybrid optimizer,BLT_REWARD_REGION,100.0,100.55845016302561,0.7467870267874546,0.8951581443952085,-0.6672666471949167,3.065676711797193,1.4887730790648281,-0.6959086844557685,0.3652164574247292,0.5010085004228162,-0.6405619246470269
