epoch,algorithm,bias,target_bias,update_type,reward,T_X,T_Z,cost_units,cumulative_cost_units,gate1_pass,gate2_pass,gate3_pass,trust_region_length,best_reward,incumbent_bias,optimizer_type
0,Bayesian optimization (TUrBO-like),28.46957613209257,100.0,BAYESIAN_UPDATE,-390.61350566999283,0.49561608455792067,14.109979851611351,2.0,2.0,,,,0.58,-390.61350566999283,28.46957613209257,trust-region Bayesian / TUrBO-like
1,Bayesian optimization (TUrBO-like),83.50305560543069,100.0,BAYESIAN_UPDATE,-5.099135449893689,0.34699553216899115,28.975187217543283,2.0,4.0,,,,0.9,-5.099135449893689,83.50305560543069,trust-region Bayesian / TUrBO-like
2,Bayesian optimization (TUrBO-like),83.50305560543069,100.0,BAYESIAN_UPDATE,-5.099135449893689,0.34699553216899115,28.975187217543283,2.0,6.0,,,,0.9,-5.099135449893689,83.50305560543069,trust-region Bayesian / TUrBO-like
3,Bayesian optimization (TUrBO-like),83.50305560543069,100.0,BAYESIAN_UPDATE,-5.099135449893689,0.34699553216899115,28.975187217543283,2.0,8.0,,,,0.9,-5.099135449893689,83.50305560543069,trust-region Bayesian / TUrBO-like
4,Bayesian optimization (TUrBO-like),85.04222775005506,100.0,BAYESIAN_UPDATE,-3.8387826888013192,0.30475317352048026,25.916888790080733,2.0,10.0,,,,0.9,-3.8387826888013192,85.04222775005506,trust-region Bayesian / TUrBO-like
5,Bayesian optimization (TUrBO-like),85.04222775005506,100.0,BAYESIAN_UPDATE,-3.8387826888013192,0.30475317352048026,25.916888790080733,2.0,12.0,,,,0.9,-3.8387826888013192,85.04222775005506,trust-region Bayesian / TUrBO-like
6,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,14.0,,,,0.9,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
7,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,16.0,,,,0.9,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
8,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,18.0,,,,0.9,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
9,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,20.0,,,,0.9,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
10,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,22.0,,,,0.5294117647058824,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
11,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,24.0,,,,0.5294117647058824,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
12,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,26.0,,,,0.5294117647058824,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
13,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,28.0,,,,0.5294117647058824,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
14,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,30.0,,,,0.31141868512110726,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
15,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,32.0,,,,0.31141868512110726,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
16,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,34.0,,,,0.31141868512110726,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
17,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,36.0,,,,0.31141868512110726,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
18,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,38.0,,,,0.18318746183594545,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
19,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,40.0,,,,0.18318746183594545,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
20,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,42.0,,,,0.18318746183594545,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
21,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,44.0,,,,0.18318746183594545,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
22,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,46.0,,,,0.10775733049173263,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
23,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,48.0,,,,0.10775733049173263,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
24,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,50.0,,,,0.10775733049173263,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
25,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,52.0,,,,0.10775733049173263,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
26,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,54.0,,,,0.06338666499513684,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
27,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,56.0,,,,0.06338666499513684,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
28,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,58.0,,,,0.06338666499513684,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
29,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,60.0,,,,0.06338666499513684,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
30,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,62.0,,,,0.58,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
31,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,64.0,,,,0.58,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
32,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,66.0,,,,0.58,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
33,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,68.0,,,,0.58,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
34,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,70.0,,,,0.3411764705882353,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
35,Bayesian optimization (TUrBO-like),99.81548988908294,100.0,BAYESIAN_UPDATE,0.7675159320903813,0.2996289628090036,29.907611707738504,2.0,72.0,,,,0.3411764705882353,0.7675159320903813,99.81548988908294,trust-region Bayesian / TUrBO-like
0,BLT hybrid optimizer,28.46957613209257,100.0,BAYESIAN_UPDATE,-390.61350566999283,0.49561608455792067,14.109979851611351,2.0,2.0,0,0,0,0.58,-390.61350566999283,28.46957613209257,BLT-lite hybrid optimizer
1,BLT hybrid optimizer,54.23964040766663,100.0,BLT_REWARD_REGION,-6.067261931297597,0.388750644816795,21.08569518311149,4.0,6.0,1,1,0,0.9,-6.067261931297597,54.23964040766663,BLT-lite hybrid optimizer
2,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,34.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
3,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,62.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
4,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,90.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
5,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,118.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
6,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,122.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
7,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,126.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
8,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,130.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
9,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,134.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
10,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,138.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
11,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,142.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
12,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,146.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
13,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,150.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
14,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,154.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
15,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,158.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
16,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,162.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
17,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,166.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
18,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,170.0,1,1,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
19,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,174.0,1,1,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
20,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,178.0,0,0,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
21,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,182.0,0,0,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
22,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,186.0,1,1,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
23,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,190.0,1,1,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
24,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,194.0,0,0,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
25,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,198.0,1,1,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
26,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,202.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
27,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,206.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
28,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,210.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
29,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,214.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
30,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,218.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
31,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,222.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
32,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,226.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
33,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,230.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
34,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,234.0,0,0,0,0.20069204152249137,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
35,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,238.0,1,1,0,0.20069204152249137,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
